Tên sản phẩm,Giá trước khi giảm,Giá sau khi giảm,Image_url
Bàn phím + Chuột Sama GT200,None,190.000đ,https://lh3.googleusercontent.com/Csgqvlb8_LVykzEpIdqUl6ddCSMbUvl3zk0rfjfB-_YQLZSETQYBSZ5yO9AIUZ-uPdmZW4PRg_3tbT3_GoGf=w500-rw
Bàn phím + Chuột Sama GT600,None,230.000đ,https://lh3.googleusercontent.com/BuO0o2zt0jjcn6vU6Ps0ODmRi9pXQmut36U4SunY0ftsbxX0KdspYxpShhgH3qKb1AY26xsBBXEr8MUh4Q=w500-rw
Bộ chuột và bàn phím SAMA GT820W,None,325.000đ,https://lh3.googleusercontent.com/WLJSPC6E6ISMtINtsQPTH4KGTCpibitwQUgwNkFFWdKcAqeHykQOmwjtBfgalHUwQFvCX1hsZC1l9N03xkQ=w500-rw
Chuột gaming ASUS ROG Gladius II Origin PNK Ltd (Hồng),None,2.290.000đ,https://lh3.googleusercontent.com/JteSl7rP3mjaAPrT9bvFclAvhoNDV-MwUPlRmhsprY5jB5Vt71dX0MybiWeR59pTWWx-NS1FUlL6qOCt0Ew=w500-rw
Chuột máy tính Corsair Harpoon PRO RGB - CH-9301111-AP,499.000đ,429.000đ,https://lh3.googleusercontent.com/qSA-CpRnWtaYfaSoB-f_ygR_7qPAKqE4C0NNJKKNo6ajceuLB4il8K8VoX9iVi4G40MRVPX0mCPXNO6iGAk=w500-rw
Bàn phím cơ gaming Razer Blackwidow 2019 Green Switch - RZ03-02860100-R3M1,None,3.100.000đ,https://lh3.googleusercontent.com/hhdJYXuRVcv5ObDALuEsDSiD9zlF8Ym-pB5HntJfUOefoS9uEU_kBn8nprWiUXJEI-NZl1MuqYLNRnes-tNB=w500-rw
Bàn phím cơ Kingston HyperX Alloy Elite RGB Mechanical HX-KB2RD2-US/R1 (RED),None,3.999.000đ,https://lh3.googleusercontent.com/kRD_QDtGwmavO3JFJjriK95Sp2HaGcOUKdPfL_0Yrq2kxpR3iy_nsWKPFkxcWwtAPRmEXTFHHRcC61pXog=w500-rw
Bàn phím cơ Kingston HyperX Alloy Elite RGB Mechanical HX-KB2BR2-US/R1 (BROWN),None,3.999.000đ,https://lh3.googleusercontent.com/j8ufj7K8iKsWxMpF7m430R4ejAQR7DWtlp3GaDTDEj3nV-Fw0q-gdaMGe_uQfdiqHTft_0Ik4TPdLKnFWs8=w500-rw
Lót chuộtSTEELSERIESQCK Edge Medium-M,None,345.000đ,https://lh3.googleusercontent.com/nBp0i24C26FxZed2aDBEhAdtsOp5ZMHAHeGEvqdxkjhXHTHzcwUDb3fnBrb52fei9LIlSTWkIaSMSQLNew=w500-rw
Chuột máy tính không dây Dareu LM115G (Hồng),None,199.000đ,https://lh3.googleusercontent.com/EREEbFqdAHZUuV9ulQqEMBF1cS_i5KXT926xid9nVHmQLfTiHlMaWfOqdkcyO8W7ULPC_kiRrBzmE7b7kLpu=w500-rw
Combo bàn phím + chuột DELL KM117,None,504.000đ,https://lh3.googleusercontent.com/nypiusLA_dkuDxntIKae5Uv0HPSP3kx-XluZ6XmLCMHgXVzhXApVF_Izu_aVVRuLijOQNY_qckdRJ7xczCo=w500-rw
Combo Bàn phím + Chuột NEWMEN K928,None,390.000đ,https://lh3.googleusercontent.com/l3Hcu0VheTiUp-SdiYjLhCDZ2-LWpOSjSed5TX2rZWBt88IGB-cPPzaURmiQXaKPJYSJVBDfIlNTll59O5M=w500-rw
Bàn phím + Chuột không dây Newmen K928 (Hồng),390.000đ,349.000đ,https://lh3.googleusercontent.com/0vnwuRWuUa125-mWq4Ll9H_RwjNAbuQdQh0Yw1hiq7W-2PVhGvpO369-fiZX2xFTX1XFvGy-9iQz-xolXPAN=w500-rw
Lót chuộtCORSAIRMM100-M,None,220.000đ,https://lh3.googleusercontent.com/FQYmIg4J_xxiDrfogxIEMQCdOYqD__1-YDrm5Z10eHw7nsONL2lL2i5-DwbMBQAeMVjYdI8EvX5uV0rdCtB2=w500-rw
Bàn phím cơ Steelseries Apex Pro (Full size/OmniPoint Switch),4.990.000đ,4.489.000đ,https://lh3.googleusercontent.com/8DsjZL_dhOpoflchl0_O3aiaLvvST0x8dTIESwvutrC9hVBT3g-PmAhAOhbln0Ndg7A1K2TC6RQwUH0Q-VQ=w500-rw
Bàn phím cơ HyperX Alloy Origins RGB (HX-KB6RDX-US),2.790.000đ,2.176.000đ,https://lh3.googleusercontent.com/Y553CGeHrd7S2qN6z38VbN4atByxkfZ8a5Gxrqdf0e0K0xx3JzFBT5jDYNqdvbHrGqsRYV5jqYw_odm4kKE=w500-rw
Máy chơi game Sony Playstation PS4 Pro 1TB OM bundle (CUH-7218B OM),None,12.090.000đ,https://lh3.googleusercontent.com/vCkuqpUnik06lvu2jZRj6ar72beUBfAe5-3jhqVlRwtN0Dm_GRVd_o7ZFKdMXHaCoLoxUUTmHo-kmoJJ2Say=w500-rw
Bàn phím cơ Logitech Gaming G813 (Full Size/GL Clicky),4.699.000đ,3.589.000đ,https://lh3.googleusercontent.com/clKIdjXDk74t5LzmxeudygbO5XMEjnHf3lNCa5YyUqGDqCrMLRIHE1cdeNKfgV3ts0WhP7oJP8lCDoRC034=w500-rw
Bàn phím cơ Logitech Gaming G813 (Full Size/GL Tactile),4.699.000đ,3.589.000đ,https://lh3.googleusercontent.com/MovhcYWS_HvBP09zrP6d4nxP7Y7D3GXZFcv_haurMeQeTWF1Mfbc5xIpgjVHe4jW8yuCAbApI66uUCpGe6Xu=w500-rw
Bàn phím cơ Logitech Gaming G813 (Full Size/GL Linear),4.699.000đ,3.589.000đ,https://lh3.googleusercontent.com/B--8oEleDRRyvmX2RHW0RIma1mGnfw3pNTMsa3lFxRolSAYFpVT4_azdO8--48qPzDzdhsn-1QWIXtaopw=w500-rw
Chuột máy tính Asus TUF Gaming M3,690.000đ,549.000đ,https://lh3.googleusercontent.com/835MfBqgcTVYh7g1zWDtJUFp2QnjeMswHm7JE_qLVp5mBAmR1Hep69EL3Jab4Dm6jyDaKBJIAKcfKqK4sQ=w500-rw
Chuột máy tính có dây Newmen G10+ (Vàng),179.000đ,149.000đ,https://lh3.googleusercontent.com/jzjru3_5x_08cDrJOQuUZ0whGb_iYBnp4AdNk5ZmEckKmd48BZzGqUlQtxmqlBJg6UenokGTt6_SN-B_pQ=w500-rw
Chuột máy tính có dây Newmen G10+ (Đen),179.000đ,149.000đ,https://lh3.googleusercontent.com/gLJRSw0whLACs2WW2gAqejlN4pJuAGWiGwHLjcpGx-7OW30VBltH-Vtu35nrdTSfhO3ZhrzJJzfRCqAEyg=w500-rw
Chuột máy tính có dây Newmen G7+ (Vàng),220.000đ,189.000đ,https://lh3.googleusercontent.com/1PVDiAT72G8JIHdOldm3qAvPDFTuWG6z_0wuQK7ZWX5A31R2rEM1MlE6Nu0EvCitDFuTxjDIao6_t5bTvA=w500-rw
Bàn phím cơ quang học DAREU EK520 - Dare-U D Switch (Đen),None,990.000đ,https://lh3.googleusercontent.com/OwZAuoRuQlYNhX3Pvs8lmwcUAWcjkXP8mdp6n4-0ywB0gbB6fBVKjeUpIooYiTV_zsUupHR7WM724-wmFZJK=w500-rw
Bàn phím cơ Gaming Logitech G Pro X,None,3.799.000đ,https://lh3.googleusercontent.com/EGuDcz8z-Ovp8CMdMos43hwSofGy8vKI8ADb3UAgpdKofaJeHZcDeoK-epYHFK0X0fYyTR27VtJeDanfykY=w500-rw
Chuột máy tính gaming không dây Logitech G604,None,2.499.000đ,https://lh3.googleusercontent.com/C_JVBdHAakhzZn1xbh7fMeSWkySoqdBa8jocQIIfAcJDkIybC8tROXiPYeQbhcVcDcxK31XHJLyqhqJ-7B4=w500-rw
Chuột máy tính BenQ Zowie S1,None,1.950.000đ,https://lh3.googleusercontent.com/CQzx-JYclN89mtqS1VGElYjKCeOBZtLwdNik1S4JJojvefqoFv8WtJefztj3WGASoZXGmWIMzyX1WmmJQg=w500-rw
Chuột máy tính có dây Razer Viper (RZ01-02550100-R3M1),None,2.190.000đ,https://lh3.googleusercontent.com/bDoG1XxcCxl0oy51I9OnB3bfmvnS4VzFh4QkkHuWsXq6LK74wnB2uaaF6vNY5-DaDLSZmlGxn_X4WkIVm7c=w500-rw
Bàn phím cơ Razer Huntsman Tournament Edition (Linear Optical Red Switch) (RZ03-03080100-R3M1),None,3.549.000đ,https://lh3.googleusercontent.com/hS45b0q5Wq6eW1okMg6xDbZdUgK3qZP9u9V237egkI5SQ_1H9xore9CzV_2vbmHCWNsw_LGPkaWtXTSX2SjK=w500-rw
Chuột máy tính có dây Steelseries - Sensei Ten,None,LIÊN HỆ,https://lh3.googleusercontent.com/W364QP9rkY18vpM_ELJ35otEJ83tnIbiRrZn4MzBUrD0rTywGQ-fGrlsESau2zNi48JwkwixVBUcNUkKpA=w500-rw
Bàn phím cơ ASUS Strix Flare PNK Ltd (Fullsize/Cherry MX Blue) (Xám/ Hồng),None,4.390.000đ,https://lh3.googleusercontent.com/IAE6fv-cZyDBD7iF9Bx9HZ_pgTVgmDd3lKqEUFH81iNVbQlOyhrRqYblI65I_FCP5QA-i1265VSqRlrBVOE=w500-rw
Bàn phím cơ E-dra EK387 RGB TKL Blue Switch (Đen),None,699.000đ,https://lh3.googleusercontent.com/S8Y9jQkyhmIGUlw_Jh0fPLS9We7xTrHieGuJpgiKEg07Bh9i3j_vBetdq0NTW8R2PFSuaEOjHXmLPTA-rQ=w500-rw
Chuột máy tính Newmen N3000 (Gaming/RGB LED),None,360.000đ,https://lh3.googleusercontent.com/wXxrG1oblSOQ5Rg8D16-L05QtFar9x1i2LolZMie-OlrMk2YVnL-3KW3rbJmg_7R0hUEICvLpGyajQd01OQ=w500-rw
Bàn phím giả cơ E-dra EK701 (Đen),369.000đ,279.000đ,https://lh3.googleusercontent.com/eXf5xEaS4I2zc785JFkr05r2MYd84NDptyoHvUygrZGZTZQCCyVe12hvdLGDIHnX191eXMM7yapbOb4Lxm8=w500-rw
Chuột máy tính gaming E-Dra EM6502,399.000đ,349.000đ,https://lh3.googleusercontent.com/NyobJTl7PqS2Lv_5hhvzS0l8l3CCdW3-rz-5Y8QAdD5JLMYufivEzlm88qKJKUPnLj_b7pRuAEJgg_YmogwH=w500-rw
Chuột máy tính gaming E-Dra EM6502 Pro,599.000đ,529.000đ,https://lh3.googleusercontent.com/1F1uqjtCIJiYVaGYE1cwYwv1F96-lkjaTa3NVfjPJ766fT2XyRaaWf7D_NP_Hh-HXsJbnWZY7g5baUACKg=w500-rw
Chuột không dây Bluetooth Mouse Microsoft RJN-00005 (Đen),None,599.000đ,https://lh3.googleusercontent.com/PjIZZswOiNlLgJqLFlRKQZqxPMRNiqNbL4ytxuOOEv3X4JIvV1VABK4nQ7WmBEGyBrLMeD9LsdUzGBd5u0w=w500-rw
Chuột không dây Bluetooth Mouse Microsoft RJN-00029 (Xanh bạc hà),None,599.000đ,https://lh3.googleusercontent.com/DqvXhdZcZbLsAhC2KrKMOyfNSXhwP17AsFb0bS4QTrPwjgZrjBv6KJlE7FRgLA_9rxzoLf2NtFVXETdqAg=w500-rw
Chuột không dây Bluetooth Mouse Microsoft RJN-00017 (Pastel Blue),None,599.000đ,https://lh3.googleusercontent.com/rxUgw1LC-yzCD4tjJSdWA-_Jv0K5YpnQNU1Cwc80MGheVYJlS4h7S4l0S4mBLuwEln_e4bS6rWf0ATfEPnm8=w500-rw
Chuột không dây Bluetooth Mouse Microsoft RJN-00041 (Hồng đào),None,599.000đ,https://lh3.googleusercontent.com/X_11XtfoiwjUNgLNLdyfLSuIi5HkM-eb8NEsM9NiVOwdCi7RksKz3Uj3gnWgq2MjK8vjo1pNkwVwQAC6CI4r=w500-rw
Bàn phím + Chuột Không dây Philips SPT6501 (Đen),259.000đ,229.000đ,https://lh3.googleusercontent.com/gyAm2q6ws2efhOeLQD4TNWz0eO434LshMxHXsCQrApBuSl_EfwUf9D0O41e8XX7Znb-1F_3dSB0qIgw9GJA=w500-rw
Bàn phím cơ AKKO 3084 World Tour - Tokyo Pink Switch (84 keys),None,1.299.000đ,https://lh3.googleusercontent.com/vivBGSzKcoU089pAWin6uUE6amOB9xagtR0-zlHcYaJsZwzv6BtuVqJpJwckRG_ZHRp1QNtfEDXYCZZCKw=w500-rw
Bàn phím cơ AKKO 3084 World Tour - Tokyo Oragne Switch (84 keys),None,1.299.000đ,https://lh3.googleusercontent.com/RRK77k3705xTvvmQG8U8hCL5BsACfMqaR0uhSUE1bJhInzckAZXcDkkz5lVqBfigzBHPQLim8R-1rjnzIwA=w500-rw
Bàn phím cơ AKKO 3084 World Tour - Tokyo Blue Switch (84 keys),1.299.000đ,1.239.000đ,https://lh3.googleusercontent.com/efEccKd7GT-xYfwXkR_nnJcBBaC0ltkPvOp_JELGcb-OqKPHh9NxejxEVocNiX6hJeKidAidXvt1wCpxHRIj=w500-rw
Bàn phím Akko 3108S RGB PRO Blue Switch (108 keys) (Đen),None,2.399.000đ,https://lh3.googleusercontent.com/Z1Mqt5co6wyUMYlGST1kQ_BPdZaKfl3ZkFX-ssSseo9qX1RGnJb8nez7UPPTue87ky4hnMN1uh6ceQpaEuc=w500-rw
Bàn phím Akko 3108S RGB PRO Blue Switch (108 keys) (Hồng),None,2.399.000đ,https://lh3.googleusercontent.com/pAuMynfJXNCpdx1kNKOx-f_6ZabKnAxHVLf3Hj5DWKYKEfgstDcgScF60YMrId_CbrgjFlKlbeAZ4ZmAwCWA=w500-rw
Chuột máy tính Akko Hamster - MOMO (Hồng),299.000đ,269.000đ,https://lh3.googleusercontent.com/iieWb2Y4I4jtEQ7L9LR845Cy6QfyDbNQd7WY4z_ug3wg73VRmpc98vbHXYOCDe8e3UC8mda02S5zQbc5Ag=w500-rw
Chuột gaming Logitech G102 Gen2 Lightsync (Đen),589.000đ,449.000đ,https://lh3.googleusercontent.com/vRIQO-CqNtVXzFCepDl1M-I2ega7PUMeIv7Mi9tW47eCsHu0DQLPm0nK5enr9CEkZz5NRlqZPJeIPIL_HZLV=w500-rw
Chuột gaming Logitech G102 Gen2 Lightsync (Trắng),589.000đ,449.000đ,https://lh3.googleusercontent.com/ZFTPRsHJuPCLpKOW6fp0XlgNYsXEYzKkPao83tQ9ffrzzj6uNKBL8zeJkvWZdKC4xpRm8mfiaesH4QPc5i2Q=w500-rw
Chuột máy tính có dây Newmen G7+ (Xanh),220.000đ,189.000đ,https://lh3.googleusercontent.com/x_DCWJgsdjW-Tz3hCCIJggg0wk5MxYrNkpym3F_sPYjNjL2TncTm0pgKOhRlwYF7cm5YkforcaZ79Y_srw=w500-rw
Chuột máy tính gaming Logitech G Pro Hero (910-005442) (Đen),None,1.799.000đ,https://lh3.googleusercontent.com/ybmilqnSaF4zHCtDYeUGxQM3ZMPJf9YDyJeUN4vS-J20qOcvbgsg3foBZ5rbQ_XU7ihvsfVqxEvY3nHqhpM=w500-rw
Chuột máy tính Akko Hamster - HIMA (Vàng),None,299.000đ,https://lh3.googleusercontent.com/AcikE8ovRqw0A-SGjSwphn6QywhDezIi5bTF3CHBb7dtWxp2ASkivSWvnQeVZOTMl298s1r1lCkIobY_R5GS=w500-rw
Chuột không dây bluetooth Microsoft Modern Mouse (Đen),None,899.000đ,https://lh3.googleusercontent.com/Ej0NZ8VIZN495ndBZOajRzM3MYeg8Xb7r7MfNBqkTqYAdk1ueyRZV05n3tLAOyqzIDr2-tD4po2N0w07cmg=w500-rw
Chuột máy tính Akko Hamster - AOKI (Xanh lá),None,299.000đ,https://lh3.googleusercontent.com/kSflXUFUsZTCkbPI4HaicDmwb7wNwYejEVQm4wD_jkkuUI59qkVdQAnFmxvdZLv0wI33lcUgYrK_bwniTw=w500-rw
Tai nghe Over-ear SoundMAX AH 314 (Đen/Đỏ),250.000đ,210.000đ,https://lh3.googleusercontent.com/Vnx2mHULlLxIzawgaADjEUiXIFMC1wPCl4XJfoTZU9TeO2qpNIbWjavd-6y0vyuK2sZa5KK5-9jk0Ux8I1iB=w500-rw
Chuột máy tính Akko Hamster - TARO (Xám),None,299.000đ,https://lh3.googleusercontent.com/zSsUwZ0EUAVZEyf7Un6kPHix3DZ8I8D4ZA7NIepWYgvX2O3-dligu4MPocxqchS48bdaQTJV0N4oUD5jMw=w500-rw
Bàn phím cơ Philips SPK8605 (Đen),None,659.000đ,https://lh3.googleusercontent.com/dz69cSw_ibLcR6df5vBLvu4s_6o54UK2HM0wtW4zvSwDFT4zb5rZqV3k5sdK4UBfZ3ztSQp2Q9Fp5pI85WCs=w500-rw
Chuột máy tính Akko Hamster - SHION (Tím),None,299.000đ,https://lh3.googleusercontent.com/7IYYQBvXopNk-qGKOq-9c9eMY4qyC12eUCecwzK2Ul0hZuzZgkv0NVImR8-jlD7yL36R5fe_V4oJREtNQw=w500-rw
Chuột máy tính có dây E-dra EM602 (Đen),None,149.000đ,https://lh3.googleusercontent.com/iC5jCjRyqArxp8VWp0oUXQA9gtMoRNROGFERDJmrWleKqxUH1acWapxt-egs3AugbRpSq0tYDisCxD-e8h0=w500-rw
Bàn phím + Chuột Logitech MK545,None,1.199.000đ,https://lh3.googleusercontent.com/BVOeQ4mVwg5fvcfKUTdosLjNREY5cE3vLrPH41Gg10VB2TdFOnzdeyBbys_RgZ1vTSkst2xz06VGEDOrRA=w500-rw
Loa bluetooth JBL Go 2 (Đen),None,630.000đ,https://lh3.googleusercontent.com/hFlmLXFeGzRmSYa9yoEdQ9kHNlWd2g0nUrBH4SyAV3BoNFrHwuKvwqsibgZpF46JpkhOfzqRNhAFwJ04bEs=w500-rw
Loa bluetooth 2.1 SoundMAX A-2128 (Đen),None,1.650.000đ,https://lh3.googleusercontent.com/LY-G0ePfBcF8IRqY_qkoraeA2YoVkraVhTHyuAEBKXglC370FDytYikT89yInoyKDlECF2_-23doNRQKzQ=w500-rw
Chuột Akko Hamster - RURI 1200dpi,None,299.000đ,https://lh3.googleusercontent.com/EkYjn4csSqB5B4sWMViZuP7lWCgi11fvl5qHwy5JhlfTs8VmTW08Pt_4vWodHhg-q-O4Kbr5GqYZL7pmGg=w500-rw
Chuột máy tính Akko LW325 (Hồng),599.000đ,549.000đ,https://lh3.googleusercontent.com/sSNtIAWZujX0iN4V2BRrclg37CEvfjF7cR5SSwq_OfvLRh7hvLheKogythbgdOcQ-ZITkVGZXGDa744Tug=w500-rw
Loa bluetooth JBL Go 2 (Đỏ),None,630.000đ,https://lh3.googleusercontent.com/XpKPQY4cw_qYIB_FQvqpxE8oH0soo4zIiAm4pA05wBF5gz93qcXzbrNEaJJ3GVBgM7d1wVVUncr0LOJJHMA=w500-rw
Bàn phím AKKO 3087 World Tour - Tokyo Switch Blue (87 keys),None,1.299.000đ,https://lh3.googleusercontent.com/hJ1SNT27SDdDFnGUKlwRD1vJwP8MaqYvCek8DYkjhx48XPZ81fNIRtvf4-UzqhOOUHkG2jjRTGGGgpsAC_8=w500-rw
Bàn phím AKKO 3087 World Tour - Tokyo Switch Pink (87 keys),None,1.299.000đ,https://lh3.googleusercontent.com/wjPHPQqlwU8LrOEEMqO-oqKncI0zNMKAslb0bVGjfKXAhar83LqEFAWhcuogq7l_nbdnayL6MajsOj7650jv=w500-rw
Bàn phím cơ DareU EK1280s MULTI LED (Switch Brown),790.000đ,699.000đ,https://lh3.googleusercontent.com/-inwbGNqB7d5KFE6D2nP1YTLVm8JRwBz_eYWyrWGT545kBhYMSUHBhvCnJDtdmGUevUfUGbpKc00dLQqndw=w500-rw
Bàn phím cơ Dareu EK87 (TKL/Brown D switch/LED đỏ),None,529.000đ,https://lh3.googleusercontent.com/DUK-oCFIzH3QmnyENjOVs6QELDq61JegN-PSuY8k1Bwu2THMbC1EJ5R7BuvV7fPCrYheKK2ZK3xKAxIf8w=w500-rw
Bàn phím cơ DareU EK1280s MULTI LED (Switch Blue),790.000đ,699.000đ,https://lh3.googleusercontent.com/Yd0xtM44Mo8FQxDNBXDuwcuTnxDt-YByEjIkdVqXo4ZbF4RTL-zu9Tioj2eQs9TKYsCqP0UrEPPMg9eC3k1_=w500-rw
Bàn phím cơ DareU EK1280s MULTI LED (Switch Red),790.000đ,699.000đ,https://lh3.googleusercontent.com/kV10LMzUAohpZI96rjtDK71s01G_oVDfbib8FRK1Z9QwVHbGw0YY9wMCGJTD6-857Mo_agigyQNGfTZYIg=w500-rw
Chuột máy tính không dây Microsoft Bluetooth BlueTrack Modern Mobile (màu bạc hà) (KTF-00020),None,899.000đ,https://lh3.googleusercontent.com/sAD-9UZPTC7kcm757nwJ2GErb8Y1ARc3FRUnmv1dgwSNykllcZJ7_Gx8jlZn4fGtffUGdBan9KrqKonlV0O1=w500-rw
Loa Bluetooth JBL Bar Studio (Black),None,3.900.000đ,https://lh3.googleusercontent.com/5mIoPscVqahH86A2KASLbSzrX9Y7GIarGoYzp3xlrMBKJT8NH6qfBFhzrBFqdKGUXKqb7BEXjw2qzimpMNY=w500-rw
Loa bluetooth Harman Kardon Omni 10+ (Đen),None,6.900.000đ,https://lh3.googleusercontent.com/Y1E7FzD6z0trdbnss_2ucs6uguKzeda9sAnoDBzKe9e6599wKKfixv-xbVgkIEPqBUTrlIDilZal3quv37KA=w500-rw
Chuột máy tính Steelseries Rival 3,None,940.000đ,https://lh3.googleusercontent.com/H5AKkNmwkDKPwUzcdKIgVktYpF890uapZ8CZ3foauNiTDpBwUdzeJvOUGIv4xXKmbk1-29F3CY6cBrwV_Q=w500-rw
Chuột máy tính gaming Razer Deathadder V2 RZ01-03210100-R3M1 (Đen),None,1.960.000đ,https://lh3.googleusercontent.com/Vp34v9i-woJsCX5WMT3ccMrwOXsmYI7vx0_rQZ9gpPZhoDGbLWezC6WrUO_pwPHkATU5GCR8joh38z_x=w500-rw
Lót chuột SteelSeries QcK Prism Cloth RGB - XL,None,1.490.000đ,https://lh3.googleusercontent.com/ABswNdH_R_iF4Dqh-juMJIEyf-wVYX3lmjHWyB2-RnujHE-O4PgjdOUdjat2FlrR4JEZ2kIX-_OYYlxN6w=w500-rw
Loa bluetooth Creative Stage Air (Đen),None,1.090.000đ,https://lh3.googleusercontent.com/dilLCFqDuXmSbS1cI127CY6dfcBGbUZNURcmP0t6unTbrPFrjObBbGCyAZXMrmjlmtdE1gUzcYWpUIGQ5gA=w500-rw
Tai nghe Over-ear EAGLEND Q5 (Đen/Xám),None,450.000đ,https://lh3.googleusercontent.com/uqEc7KoGVOBNKHbnPtsA8hAzq89eX071toCFZ8UgzJTyvj0_aKOXSO6NNw-sgZOr847BsY8vpKTRAeKnlA=w500-rw
Loa bluetooth 2.0 JBL Xtreme 2 (Xanh dương),None,6.290.000đ,https://lh3.googleusercontent.com/VaO3hi25ijYKqMZZJDDr3eI2BoNh2AACc703TPLYYu7TdcoSHXqUft6EprGj5GbZfl42iStajIMsDG2QnO0=w500-rw
Loa bluetooth JBL Boombox (Đen),None,9.900.000đ,https://lh3.googleusercontent.com/uyZ2gZgRg_ra76Y1N3s6CMnCrvZS9ctJlX27jVWQ73rbt3v0k-smNvCslKLws6Pj7-ZhGpc430CEF2xjbrEA=w500-rw
Loa bluetooth Harman Kardon Onyx Studio 5 (Xám),None,4.990.000đ,https://lh3.googleusercontent.com/uyJ8b5PCusGu_ttF7JbbzXaeFRA2drze9LYIIt7-l1ZlkrmfQg5ajU9oR1XcXXbhPdKQBrB62IGSepcHvUI=w500-rw
